Idade,Saida,FrequenciaViagem,TaxaDiaria,Departamento,DistanciaCasa,Escolaridade,AreaFormacao,SatisfacaoAmbiente,Genero,TaxaHora,EnvolvimentoCargo,NivelCargo,Cargo,SatisfacaoCargo,EstadoCivil,RendimentoMensal,TaxaMensal,NumEmpresasAnteriores,HorasExtra,PercentAumentoSalarial,AvaliacaoDesempenho,SatisfacaoRelacionamento,NivelOpcaoAccoes,AnosExperienciaTotal,FormacaoUltimoAno,EquilibrioVidaTrabalho,AnosNaEmpresa,AnosNoCargoActual,AnosDesdeUltimaPromocao,AnosComGestorActual,SatisfacaoAmbiente_Texto,SatisfacaoCargo_Texto,EnvolvimentoCargo_Texto,SatisfacaoRelacionamento_Texto,EquilibrioVidaTrabalho_Texto,AvaliacaoDesempenho_Texto,Escolaridade_Texto,RendimentoMensal_Log,FaixaEtaria,FaixaSalarial,FaixaDistancia,FaixaAntiguidade,SalarioPorNivel,EstagnacaoRelativa,ProporcaoCarreiraEmpresa,SatisfacaoMedia,PressaoTrabalho,RiscoSaida_Prob,RiscoSaida_Classe
35,0,Viaja Raramente,809,Investigacao e Desenvolvimento,16,3,Medicina,1,Masculino,84,4,1,Tecnico de Laboratorio,2,Casado(a),2426,16479,0,Nao,13,3,3,1,6,5,3,5,4,0,3,Baixo,Medio,Muito Alto,Alto,Bom,Excelente,Mestrado,7.794411,26-35,Ate 3k,Longe (11-20),3-5 anos,2426.0,0.0,0.8333333,2.0,0,0.6,Baixo
29,0,Viaja Raramente,153,Investigacao e Desenvolvimento,15,2,Ciencias da Vida,4,Feminino,49,2,2,Tecnico de Laboratorio,3,Solteiro(a),4193,12682,0,Sim,12,3,4,0,10,3,3,9,5,0,8,Muito Alto,Alto,Medio,Muito Alto,Bom,Excelente,Licenciatura,8.341411,26-35,3k-6k,Longe (11-20),6-10 anos,2096.5,0.0,0.9,3.6666667,2,8.5,Medio
31,0,Viaja Raramente,670,Investigacao e Desenvolvimento,26,1,Ciencias da Vida,1,Masculino,31,3,1,Investigador,3,Divorciado(a),2911,15170,1,Nao,17,3,4,1,5,1,2,5,2,4,3,Baixo,Alto,Alto,Muito Alto,Regular,Excelente,Abaixo da Licenciatura,7.9765954,26-35,Ate 3k,Muito Longe (21+),3-5 anos,2911.0,0.12903225,1.0,2.6666667,0,12.4,Medio
34,0,Viaja Raramente,1346,Investigacao e Desenvolvimento,19,2,Medicina,2,Masculino,93,3,1,Tecnico de Laboratorio,4,Divorciado(a),2661,8758,0,Nao,11,3,3,1,3,2,3,2,2,1,2,Medio,Muito Alto,Alto,Alto,Bom,Excelente,Licenciatura,7.886833,26-35,Ate 3k,Longe (11-20),0-2 anos,2661.0,0.029411765,0.6666667,3.0,0,7.8,Medio
28,1,Viaja Raramente,103,Investigacao e Desenvolvimento,24,3,Ciencias da Vida,3,Masculino,50,2,1,Tecnico de Laboratorio,3,Solteiro(a),2028,12947,5,Sim,14,3,2,0,6,4,3,4,2,0,3,Alto,Alto,Medio,Medio,Bom,Excelente,Mestrado,7.6152983,26-35,Ate 3k,Muito Longe (21+),3-5 anos,2028.0,0.0,0.6666667,2.6666667,2,99.5,Alto
29,0,Viaja Raramente,1389,Investigacao e Desenvolvimento,21,4,Ciencias da Vida,2,Feminino,51,4,3,Director de Producao,1,Divorciado(a),9980,10195,1,Nao,11,3,3,1,10,1,3,10,9,8,8,Medio,Baixo,Muito Alto,Alto,Bom,Excelente,Doutoramento,9.208439,26-35,6k-10k,Muito Longe (21+),6-10 anos,3326.6667,0.27586207,1.0,2.0,0,16.5,Medio
32,0,Viaja Raramente,334,Investigacao e Desenvolvimento,5,2,Ciencias da Vida,1,Masculino,80,4,1,Investigador,2,Divorciado(a),3298,15053,0,Sim,12,3,4,2,7,5,2,6,2,0,5,Baixo,Medio,Muito Alto,Muito Alto,Regular,Excelente,Licenciatura,8.101375,26-35,3k-6k,Perto (0-5),6-10 anos,3298.0,0.0,0.85714287,2.3333333,3,20.4,Alto
22,0,Sem Viagem,1123,Investigacao e Desenvolvimento,16,2,Medicina,4,Masculino,96,4,1,Tecnico de Laboratorio,4,Divorciado(a),2935,7324,1,Sim,13,3,2,2,1,2,2,1,0,0,0,Muito Alto,Muito Alto,Muito Alto,Medio,Regular,Excelente,Licenciatura,7.984803,18-25,Ate 3k,Longe (11-20),0-2 anos,2935.0,0.0,1.0,3.3333333,3,20.0,Alto
53,0,Viaja Raramente,1219,Vendas,2,4,Ciencias da Vida,1,Feminino,78,2,4,Gestor,4,Casado(a),15427,22021,2,Nao,16,3,3,0,31,3,3,25,8,3,7,Baixo,Muito Alto,Medio,Alto,Bom,Excelente,Doutoramento,9.643939,46-55,Acima 15k,Perto (0-5),20+ anos,3856.75,0.056603774,0.8064516,2.6666667,0,10.3,Medio
38,0,Viaja Raramente,371,Investigacao e Desenvolvimento,2,3,Ciencias da Vida,4,Masculino,45,3,1,Investigador,4,Solteiro(a),3944,4306,5,Sim,11,3,3,0,6,3,3,3,2,1,2,Muito Alto,Muito Alto,Alto,Alto,Bom,Excelente,Mestrado,8.280204,36-45,3k-6k,Perto (0-5),3-5 anos,3944.0,0.02631579,0.5,3.6666667,2,2.9,Baixo
24,0,Sem Viagem,673,Investigacao e Desenvolvimento,11,2,Outro,1,Feminino,96,4,2,Director de Producao,3,Divorciado(a),4011,8232,0,Nao,18,3,4,1,5,5,2,4,2,1,3,Baixo,Alto,Muito Alto,Muito Alto,Regular,Excelente,Licenciatura,8.297045,18-25,3k-6k,Longe (11-20),3-5 anos,2005.5,0.041666668,0.8,2.6666667,0,0.4,Baixo
36,1,Viaja Raramente,1218,Vendas,9,4,Ciencias da Vida,3,Masculino,82,2,1,Representante de Vendas,1,Solteiro(a),3407,6986,7,Nao,23,4,2,0,10,4,3,5,3,0,3,Alto,Baixo,Medio,Medio,Bom,Excecional,Doutoramento,8.133881,36-45,3k-6k,Medio (6-10),3-5 anos,3407.0,0.0,0.5,2.0,0,96.1,Alto
34,0,Viaja Raramente,419,Investigacao e Desenvolvimento,7,4,Ciencias da Vida,1,Feminino,53,3,3,Director de Investigacao,2,Solteiro(a),11994,21293,0,Nao,11,3,3,0,13,4,3,12,6,2,11,Baixo,Medio,Alto,Alto,Bom,Excelente,Doutoramento,9.392245,26-35,10k-15k,Medio (6-10),11-20 anos,3998.0,0.05882353,0.9230769,2.0,0,11.1,Medio
21,0,Viaja Raramente,391,Investigacao e Desenvolvimento,15,2,Ciencias da Vida,3,Masculino,96,3,1,Investigador,4,Solteiro(a),1232,19281,1,Nao,14,3,4,0,0,6,3,0,0,0,0,Alto,Muito Alto,Alto,Muito Alto,Bom,Excelente,Licenciatura,7.1172056,18-25,Ate 3k,Longe (11-20),0-2 anos,1232.0,0.0,0.0,3.6666667,0,34.3,Alto
34,1,Viaja Raramente,699,Investigacao e Desenvolvimento,6,1,Medicina,2,Masculino,83,3,1,Investigador,1,Solteiro(a),2960,17102,2,Nao,11,3,3,0,8,2,3,4,2,1,3,Medio,Baixo,Alto,Alto,Bom,Excelente,Abaixo da Licenciatura,7.9932823,26-35,Ate 3k,Medio (6-10),3-5 anos,2960.0,0.029411765,0.5,2.0,0,90.9,Alto
53,0,Viaja Raramente,1282,Investigacao e Desenvolvimento,5,3,Outro,3,Feminino,58,3,5,Gestor,3,Divorciado(a),19094,10735,4,Nao,11,3,4,1,26,3,2,14,13,4,8,Alto,Alto,Alto,Muito Alto,Regular,Excelente,Mestrado,9.857182,46-55,Acima 15k,Perto (0-5),11-20 anos,3818.8,0.0754717,0.53846157,3.3333333,0,3.1,Medio
32,1,Viaja Frequentemente,1125,Investigacao e Desenvolvimento,16,1,Ciencias da Vida,2,Feminino,72,1,1,Investigador,1,Solteiro(a),3919,4681,1,Sim,22,4,2,0,10,5,3,10,2,6,7,Medio,Baixo,Baixo,Medio,Bom,Excecional,Abaixo da Licenciatura,8.273847,26-35,3k-6k,Longe (11-20),6-10 anos,3919.0,0.1875,1.0,1.6666666,2,99.7,Alto
42,0,Viaja Raramente,691,Vendas,8,4,Marketing,3,Masculino,48,3,2,Executivo de Vendas,2,Casado(a),6825,21173,0,Nao,11,3,4,1,10,2,3,9,7,4,2,Alto,Medio,Alto,Muito Alto,Bom,Excelente,Doutoramento,8.828494,36-45,6k-10k,Medio (6-10),6-10 anos,3412.5,0.0952381,0.9,3.0,0,3.1,Medio
44,0,Viaja Raramente,477,Investigacao e Desenvolvimento,7,4,Medicina,1,Feminino,42,2,3,Representante de Saude,4,Casado(a),10248,2094,3,Nao,14,3,4,1,24,4,3,22,6,5,17,Baixo,Muito Alto,Medio,Muito Alto,Bom,Excelente,Doutoramento,9.234936,36-45,10k-15k,Medio (6-10),20+ anos,3416.0,0.11363637,0.9166667,3.0,0,19.9,Alto
46,0,Viaja Raramente,705,Vendas,2,4,Marketing,2,Feminino,83,3,5,Gestor,1,Solteiro(a),18947,22822,3,Nao,12,3,4,0,22,2,2,2,2,2,1,Medio,Baixo,Alto,Muito Alto,Regular,Excelente,Doutoramento,9.849454,46-55,Acima 15k,Perto (0-5),0-2 anos,3789.4,0.04347826,0.09090909,2.3333333,0,0.8,Baixo
33,0,Viaja Raramente,924,Investigacao e Desenvolvimento,2,3,Medicina,3,Masculino,78,3,1,Tecnico de Laboratorio,4,Solteiro(a),2496,6670,4,Nao,11,3,4,0,7,3,3,1,1,0,0,Alto,Muito Alto,Alto,Muito Alto,Bom,Excelente,Mestrado,7.8228455,26-35,Ate 3k,Perto (0-5),0-2 anos,2496.0,0.0,0.14285715,3.6666667,0,5.3,Medio
44,0,Viaja Raramente,1459,Investigacao e Desenvolvimento,10,4,Outro,4,Masculino,41,3,2,Representante de Saude,4,Casado(a),6465,19121,2,Sim,13,3,4,0,9,5,4,4,2,1,3,Muito Alto,Muito Alto,Alto,Muito Alto,Excelente,Excelente,Doutoramento,8.774313,36-45,6k-10k,Medio (6-10),3-5 anos,3232.5,0.022727273,0.44444445,4.0,1,1.2,Baixo
30,0,Viaja Raramente,125,Investigacao e Desenvolvimento,9,2,Medicina,4,Masculino,83,2,1,Tecnico de Laboratorio,3,Solteiro(a),2206,16117,1,Nao,13,3,1,0,10,5,3,10,0,1,8,Muito Alto,Alto,Medio,Baixo,Bom,Excelente,Licenciatura,7.6993895,26-35,Ate 3k,Medio (6-10),6-10 anos,2206.0,0.033333335,1.0,2.6666667,0,4.4,Medio
39,1,Viaja Raramente,895,Vendas,5,3,Curso Tecnico,4,Masculino,56,3,2,Representante de Vendas,4,Casado(a),2086,3335,3,Nao,14,3,3,1,19,6,4,1,0,0,0,Muito Alto,Muito Alto,Alto,Alto,Excelente,Excelente,Mestrado,7.6434827,36-45,Ate 3k,Perto (0-5),0-2 anos,1043.0,0.0,0.05263158,3.6666667,0,71.8,Alto
24,1,Viaja Raramente,813,Investigacao e Desenvolvimento,1,3,Medicina,2,Masculino,61,3,1,Investigador,4,Casado(a),2293,3020,2,Sim,16,3,1,1,6,2,2,2,0,2,0,Medio,Muito Alto,Alto,Baixo,Regular,Excelente,Mestrado,7.7380524,18-25,Ate 3k,Perto (0-5),0-2 anos,2293.0,0.083333336,0.33333334,2.3333333,3,94.8,Alto
43,0,Viaja Raramente,1273,Investigacao e Desenvolvimento,2,2,Medicina,4,Feminino,72,4,1,Investigador,3,Divorciado(a),2645,21923,1,Nao,12,3,4,2,6,3,2,5,3,1,4,Muito Alto,Alto,Muito Alto,Muito Alto,Regular,Excelente,Licenciatura,7.8808045,36-45,Ate 3k,Perto (0-5),3-5 anos,2645.0,0.023255814,0.8333333,3.6666667,0,1.2,Baixo
50,1,Viaja Raramente,869,Vendas,3,2,Marketing,1,Masculino,86,2,1,Representante de Vendas,3,Casado(a),2683,3810,1,Sim,14,3,3,0,3,2,3,3,2,0,2,Baixo,Alto,Medio,Alto,Bom,Excelente,Licenciatura,7.8950634,46-55,Ate 3k,Perto (0-5),3-5 anos,2683.0,0.0,1.0,2.3333333,2,97.1,Alto
35,0,Viaja Raramente,890,Vendas,2,3,Marketing,4,Feminino,97,3,1,Representante de Vendas,4,Casado(a),2014,9687,1,Nao,13,3,1,0,2,3,3,2,2,2,2,Muito Alto,Muito Alto,Alto,Baixo,Bom,Excelente,Mestrado,7.6083746,26-35,Ate 3k,Perto (0-5),0-2 anos,2014.0,0.057142857,1.0,3.0,0,8.7,Medio
36,0,Viaja Raramente,852,Investigacao e Desenvolvimento,5,4,Ciencias da Vida,2,Feminino,82,2,1,Investigador,1,Casado(a),3419,13072,9,Sim,14,3,4,1,6,3,4,1,1,0,0,Medio,Baixo,Medio,Muito Alto,Excelente,Excelente,Doutoramento,8.137396,36-45,3k-6k,Perto (0-5),0-2 anos,3419.0,0.0,0.16666667,2.3333333,1,23.8,Alto
33,0,Viaja Frequentemente,1141,Vendas,1,3,Ciencias da Vida,3,Feminino,42,4,2,Executivo de Vendas,1,Casado(a),5376,3193,2,Nao,19,3,1,2,10,3,3,5,3,1,3,Alto,Baixo,Muito Alto,Baixo,Bom,Excelente,Mestrado,8.589886,26-35,3k-6k,Perto (0-5),3-5 anos,2688.0,0.030303031,0.5,1.6666666,0,6.7,Medio
35,0,Viaja Raramente,464,Investigacao e Desenvolvimento,4,2,Outro,3,Masculino,75,3,1,Tecnico de Laboratorio,4,Divorciado(a),1951,10910,1,Nao,12,3,3,1,1,3,3,1,0,0,0,Alto,Muito Alto,Alto,Alto,Bom,Excelente,Licenciatura,7.5766096,26-35,Ate 3k,Perto (0-5),0-2 anos,1951.0,0.0,1.0,3.3333333,0,18.8,Medio
27,0,Viaja Raramente,1240,Investigacao e Desenvolvimento,2,4,Ciencias da Vida,4,Feminino,33,3,1,Tecnico de Laboratorio,1,Divorciado(a),2341,19715,1,Nao,13,3,4,1,1,6,3,1,0,0,0,Muito Alto,Baixo,Alto,Muito Alto,Bom,Excelente,Doutoramento,7.7587605,26-35,Ate 3k,Perto (0-5),0-2 anos,2341.0,0.0,1.0,3.0,0,25.5,Alto
26,1,Viaja Raramente,1357,Investigacao e Desenvolvimento,25,3,Ciencias da Vida,1,Masculino,48,1,1,Tecnico de Laboratorio,3,Solteiro(a),2293,10558,1,Nao,12,3,3,0,1,2,2,1,0,0,1,Baixo,Alto,Baixo,Alto,Regular,Excelente,Mestrado,7.7380524,26-35,Ate 3k,Muito Longe (21+),0-2 anos,2293.0,0.0,1.0,2.3333333,0,99.3,Alto
27,0,Viaja Frequentemente,994,Vendas,8,3,Ciencias da Vida,4,Masculino,37,3,3,Executivo de Vendas,3,Solteiro(a),8726,2975,1,Nao,15,3,4,0,9,0,3,9,8,1,7,Muito Alto,Alto,Alto,Muito Alto,Bom,Excelente,Mestrado,9.074177,26-35,6k-10k,Medio (6-10),6-10 anos,2908.6667,0.037037037,1.0,3.6666667,0,5.7,Medio
30,0,Viaja Frequentemente,721,Investigacao e Desenvolvimento,1,2,Medicina,3,Feminino,58,3,2,Tecnico de Laboratorio,4,Solteiro(a),4011,10781,1,Nao,23,4,4,0,12,2,3,12,8,3,7,Alto,Muito Alto,Alto,Muito Alto,Bom,Excecional,Licenciatura,8.297045,26-35,3k-6k,Perto (0-5),11-20 anos,2005.5,0.1,1.0,3.6666667,0,1.8,Baixo
41,1,Viaja Raramente,1360,Investigacao e Desenvolvimento,12,3,Curso Tecnico,2,Feminino,49,3,5,Director de Investigacao,3,Casado(a),19545,16280,1,Nao,12,3,4,0,23,0,3,22,15,15,8,Medio,Alto,Alto,Muito Alto,Bom,Excelente,Mestrado,9.880526,36-45,Acima 15k,Longe (11-20),20+ anos,3909.0,0.36585367,0.95652175,3.0,0,94.7,Alto
34,0,Sem Viagem,1065,Vendas,23,4,Marketing,2,Masculino,72,3,2,Executivo de Vendas,3,Solteiro(a),4568,10034,0,Nao,20,4,3,0,10,2,3,9,5,8,7,Medio,Alto,Alto,Alto,Bom,Excecional,Doutoramento,8.42705,26-35,3k-6k,Muito Longe (21+),6-10 anos,2284.0,0.23529412,0.9,2.6666667,0,9.9,Medio
37,0,Viaja Raramente,408,Investigacao e Desenvolvimento,19,2,Ciencias da Vida,2,Masculino,73,3,1,Investigador,2,Casado(a),3022,10227,4,Nao,21,4,1,0,8,1,3,1,0,0,0,Medio,Medio,Alto,Baixo,Bom,Excecional,Licenciatura,8.014005,36-45,3k-6k,Longe (11-20),0-2 anos,3022.0,0.0,0.125,1.6666666,0,44.2,Alto
46,0,Viaja Frequentemente,1211,Vendas,5,4,Marketing,1,Masculino,98,3,2,Executivo de Vendas,4,Solteiro(a),5772,20445,4,Sim,21,4,3,0,14,4,3,9,6,0,8,Baixo,Muito Alto,Alto,Alto,Bom,Excecional,Doutoramento,8.660947,46-55,3k-6k,Perto (0-5),6-10 anos,2886.0,0.0,0.64285713,2.6666667,2,46.0,Alto
35,0,Viaja Raramente,1229,Investigacao e Desenvolvimento,8,1,Ciencias da Vida,4,Masculino,36,4,1,Tecnico de Laboratorio,4,Casado(a),2269,4892,1,Nao,19,3,4,0,1,2,3,1,0,0,1,Muito Alto,Muito Alto,Muito Alto,Muito Alto,Bom,Excelente,Abaixo da Licenciatura,7.7275352,26-35,Ate 3k,Medio (6-10),0-2 anos,2269.0,0.0,1.0,4.0,0,0.6,Baixo
48,1,Viaja Raramente,626,Investigacao e Desenvolvimento,1,2,Ciencias da Vida,1,Masculino,98,2,3,Tecnico de Laboratorio,3,Solteiro(a),5381,19294,9,Sim,13,3,4,0,23,2,3,1,0,0,0,Baixo,Alto,Medio,Muito Alto,Bom,Excelente,Licenciatura,8.590816,46-55,3k-6k,Perto (0-5),0-2 anos,1793.6666,0.0,0.04347826,2.6666667,2,90.6,Alto
28,1,Viaja Raramente,1434,Investigacao e Desenvolvimento,5,4,Curso Tecnico,3,Masculino,50,3,1,Tecnico de Laboratorio,3,Solteiro(a),3441,11179,1,Sim,13,3,3,0,2,3,2,2,2,2,2,Alto,Alto,Alto,Alto,Regular,Excelente,Doutoramento,8.143808,26-35,3k-6k,Perto (0-5),0-2 anos,3441.0,0.071428575,1.0,3.0,3,97.9,Alto
44,0,Viaja Raramente,1488,Vendas,1,5,Marketing,2,Feminino,75,3,2,Executivo de Vendas,1,Divorciado(a),5454,4009,5,Sim,21,4,3,1,9,2,2,4,3,1,3,Medio,Baixo,Alto,Alto,Regular,Excecional,Pos-Doc,8.604288,36-45,3k-6k,Perto (0-5),3-5 anos,2727.0,0.022727273,0.44444445,2.0,3,14.6,Medio
35,0,Sem Viagem,1097,Investigacao e Desenvolvimento,11,2,Medicina,3,Masculino,79,2,3,Representante de Saude,1,Casado(a),9884,8302,2,Sim,13,3,3,1,10,3,3,4,0,2,3,Alto,Baixo,Medio,Alto,Bom,Excelente,Licenciatura,9.198773,26-35,6k-10k,Longe (11-20),3-5 anos,3294.6667,0.057142857,0.4,2.3333333,2,41.5,Alto
26,0,Viaja Raramente,1443,Vendas,23,3,Marketing,3,Feminino,47,2,2,Executivo de Vendas,4,Casado(a),4157,21436,7,Sim,19,3,3,1,5,2,2,2,2,0,0,Alto,Muito Alto,Medio,Alto,Regular,Excelente,Mestrado,8.332789,26-35,3k-6k,Muito Longe (21+),0-2 anos,2078.5,0.0,0.4,3.3333333,3,39.9,Alto
33,0,Viaja Frequentemente,515,Investigacao e Desenvolvimento,1,2,Ciencias da Vida,1,Feminino,98,3,3,Director de Investigacao,4,Solteiro(a),13458,15146,1,Sim,12,3,3,0,15,1,3,15,14,8,12,Baixo,Muito Alto,Alto,Alto,Bom,Excelente,Licenciatura,9.507403,26-35,10k-15k,Perto (0-5),11-20 anos,4486.0,0.24242425,1.0,2.6666667,2,22.5,Alto
35,0,Viaja Frequentemente,853,Vendas,18,5,Ciencias da Vida,2,Masculino,71,3,3,Executivo de Vendas,1,Casado(a),9069,11031,1,Nao,22,4,4,1,9,3,2,9,8,1,8,Medio,Baixo,Alto,Muito Alto,Regular,Excecional,Pos-Doc,9.112727,26-35,6k-10k,Longe (11-20),6-10 anos,3023.0,0.028571429,1.0,2.3333333,0,8.3,Medio
35,0,Viaja Raramente,1142,Investigacao e Desenvolvimento,23,4,Medicina,3,Feminino,30,3,1,Tecnico de Laboratorio,1,Casado(a),4014,16002,3,Sim,15,3,3,1,4,3,3,2,2,2,2,Alto,Baixo,Alto,Alto,Bom,Excelente,Doutoramento,8.297792,26-35,3k-6k,Muito Longe (21+),0-2 anos,4014.0,0.057142857,0.5,2.3333333,2,32.1,Alto
31,0,Viaja Raramente,655,Investigacao e Desenvolvimento,7,4,Ciencias da Vida,4,Masculino,48,3,2,Tecnico de Laboratorio,4,Divorciado(a),5915,9528,3,Nao,22,4,4,1,10,3,2,7,7,1,7,Muito Alto,Muito Alto,Alto,Muito Alto,Regular,Excecional,Doutoramento,8.685416,26-35,3k-6k,Medio (6-10),6-10 anos,2957.5,0.032258064,0.7,4.0,0,0.7,Baixo
37,0,Viaja Raramente,1115,Investigacao e Desenvolvimento,1,4,Ciencias da Vida,1,Masculino,51,2,2,Director de Producao,3,Divorciado(a),5993,2689,1,Nao,18,3,3,1,7,2,4,7,5,0,7,Baixo,Alto,Medio,Alto,Excelente,Excelente,Doutoramento,8.698514,36-45,3k-6k,Perto (0-5),6-10 anos,2996.5,0.0,1.0,2.3333333,0,0.1,Baixo
32,0,Viaja Raramente,427,Investigacao e Desenvolvimento,1,3,Medicina,1,Masculino,33,3,2,Director de Producao,4,Casado(a),6162,10877,1,Sim,22,4,2,1,9,3,3,9,8,7,8,Baixo,Muito Alto,Alto,Medio,Bom,Excecional,Mestrado,8.726319,26-35,6k-10k,Perto (0-5),6-10 anos,3081.0,0.21875,1.0,2.3333333,2,1.3,Baixo
38,0,Viaja Frequentemente,653,Investigacao e Desenvolvimento,29,5,Ciencias da Vida,4,Feminino,50,3,2,Tecnico de Laboratorio,4,Solteiro(a),2406,5456,1,Nao,11,3,4,0,10,2,3,10,3,9,9,Muito Alto,Muito Alto,Alto,Muito Alto,Bom,Excelente,Pos-Doc,7.7861366,36-45,Ate 3k,Muito Longe (21+),6-10 anos,1203.0,0.23684211,1.0,4.0,0,6.0,Medio
50,0,Viaja Raramente,989,Investigacao e Desenvolvimento,7,2,Medicina,2,Feminino,43,2,5,Director de Investigacao,3,Divorciado(a),18740,16701,5,Sim,12,3,4,1,29,2,2,27,3,13,8,Medio,Alto,Medio,Muito Alto,Regular,Excelente,Licenciatura,9.838469,46-55,Acima 15k,Medio (6-10),20+ anos,3748.0,0.26,0.9310345,3.0,3,67.1,Alto
